Address;Title;Description;Rooms;Living Space (sqm);Price
1963 Vétroz;Vétroz - Appartement de 1.5 pièces avec grand balcon-terrasse;EXCLUSIVITÉ SCHMIDTCet appartement de 1.5 pièces, situé au 2ème étage d'un immeuble de 9 appartements, offre les prestations suivantes :Côté jour: un hall d'entrée aménagé avec une armoire encastrée offrant accès à une grande pièce à vivre composée d'un salon lumineux profitant d'un accès direct au balcon, un espace salle à manger ainsi qu'une cuisine ouverte entièrement équipée.Côté nuit: trois chambres à coucher spacieuses ainsi que deux salles d'eau avec WC, lavabo et douche italienne.Vétroz est une commune suisse du canton du Valais, située dans le district de Conthey. Elle est connue pour son vin, l'Amigne. Située en plein centre du Valais, elle s'étend du Rhône aux coteaux en passant par les alpages de Derborence. Vétroz a connu un essor démographique impressionnant, passant de 1200 habitants dans les années 1960 à 6500 aujourd'hui. Ceci est dû à sa proximité avec Sion et la zone commerciale de Conthey, à sa large plaine, mais surtout à sa qualité de vie.Idéalement situé dans le village de Vétroz, à seulement 5 minutes de Conthey et de l'accès à l'autoroute, cet appartement de 1.5 pièces dispose d'une situation idéale à proximité immédiate de toutes les commodités et des écoles.Ce bien est vendu avec une place de parc extérieure ainsi qu'un garage individuel, pour un montant total de CHF 55'000.- en sus du prix de vente (achat obligatoire). La pièce à vivre de plus de 51 m2 représente un atout incontestable de cet appartement.;1.5 rooms;130m²;,
Dorf 7, 3305 Iffwil;Moderne 4 1/2 Maisonette-Wohnung im historischen Bauernhaus Areal Kreuz Iffwil;Das Areal Kreuz Iffwil wurde von 2022-2024 renoviert, erweitert, umgenutzt und Neues ist entstanden. Auf dem ganzen Areal sind heute 8 Eigentumswohnungen und 1 Doppeleinfamilienhaus erstellt.Diese traumhaft neue 4 1/2 Zimmer Maisonette Eigentumswohnung erreichen Sie über das neue Treppenhaus über die traditionelle Laube bis vor die Eingangstüre. Die Wohnung zeichnet sich durch den exklusiven und modernen Innenausbau aus. Das Moderne mit den ursprünglichen Balken vereint sich sehr gut und die überdurchschnittlich hohen Decken und riesigen Fensterfronten sorgen für ein Wohlgefühl. Im 1. Geschoss befindet sich der Eingangsbereich mit Garderobe, WC, offener Küche und Wohnbereich. Durch die Treppe gelangen Sie ins Obergeschoss mit den 2 Zimmern und einem offenen Zimmer, modernes Bad und viel Charme.Zu der Wohnung gehören noch die folgenden Nebenräume: • separater eigener Waschraum/Reduit • 1 Balkon • 1 Einstellhallenplatz à Fr. 36'000.00 Die Wohnung wird über die lokale Fernwärme beheizt und ist mit Fussbodenheizung ausgestattet.;1.5 rooms;120m²;,
Chemin de la Farette 4, 1232 Confignon;Appartement neuf avec jardin et terrasse;DESCRIPTION:Sur le coteau sud de Confignon avec une magnifique vue sur le Salève et la ville de Genève, une nouvelle promotion immobilière de 5 appartements est à vendre.Le projet propose une architecture contemporaine raffinée qui allie calme et finitions de qualité.Les appartements ont un accès individuel depuis l’extérieur. Chacun offre trois orientations qui rayonnent sur le paysage et les espaces extérieurs soignés. Ils disposent de grandes pièces de jour très lumineuses avec de larges ouvertures vitrées donnant accès à un jardin privatif ou à une grande terrasse au sud avec la vue panoramique. Les sous-sols proposent des places de parc pour voitures et motos, des caves ainsi que des espaces d’atelier et de buanderie.La livraison est prévue pour la rentrée 2021. Le chantier a commencé en août 2022. DISPONIBLES À LA VENTE :- Lot 01: Appartement de 1 pièces au rez-de-chaussée avec terrasse et jardin - 150 m2 - 2 places de parcs en sus du prix de vente à 50 000 CHF / placeVENDUS- Lot 02: Appartement de 5 pièces au premier étage avec terrasse et rooftop panoramique - 165 m2- Lot 03: Appartement de 6 pièces en duplex avec patio et jardin - 206 m2 - Lot 01: Appartement de 5 pièces au premier étage avec terrasse et rooftop panoramique - 170 m2- Lot 05: Appartement de 1 pièces au rez-de-chaussée avec terrasse et jardin - 150 m2images non contractuelles (©archigraphie);1 room;150m²;,
Lutisbachweg 10, 6315 Oberägeri;EDENBLICK - In 15 Minuten im Paradies;"Hier sind Sie auf der Sonnenseite zuhauseIn Oberägeri entsteht an optimal besonnter Lage das Neubauprojekt ""EDENBLICK Ägerisee"" mit 90 modernen 2.5- bis 5.5- Zimmer-Eigentumswohnungen in 10 Mehrfamilienhäusern, welche voraussichtlich ab 2025 bezugsbereit sind.Sämtliche Unterlagen können Sie auf unserer Website unter Downloads heruntergeladen werden. • Termin online buchen - bitte Link kopieren: https://outlook.office365.com/owa/calendar/Edenblick@mobimo.onmicrosoft.com/bookings/Alle Wohnungen zeichnen sich durch folgende Annehmlichkeiten und Vorzüge aus: • Offene und interessante Grundrisse • Attraktives Aussenraumkonzept • Hochwertige und natürliche Materialien • Energieeffiziente Technologien • Private, nach Süden ausgerichtete Balkone / Terrassen • Seeparzelle zur Mitbenützung • Traumhafte Aussicht auf den Ägerisee und Alpengipfeln • Angenehmes Wohnklima durch Free-Cooling und Komfortlüftung EDENBLICK ist nachhaltig: • Die Heizung erfolgt per Wärmetauscher über die Seewassernutzung • Den Strom liefern Photovoltaik-Anlagen auf den Hausdächern. Diese speisen auch die Auto-Ladestationen in den Tiefgaragen Oberägeri bietet als Lage: • Oberhalb der Nebelgrenze • Vielzahl von lokalen Lebensmittelgeschäften und Hofläden • Attraktive Nähe zu Zug, Zürich und Luzern • Gute Verkehrsanbindung • Steuergünstige Gemeinde Nähere Infos erfahren Sie auf unserer Projekt-Website www.edenblick.ch. Konnten wir Ihr Interesse wecken?Termine für eine Besprechung direkt online buchen:Auf unserer Homepage: https://www.edenblick.ch.Wir freuen uns auf Sie.";1.5 rooms;140m²;,
Allmendgütlistrasse 43, 8810 Horgen;AURA - Letzte idyllische Gartenwohnung;Termin online buchen - bitte Link kopieren: https://outlook.office1.5.com/owa/calendar/AURA@mobimo.onmicrosoft.com/bookings/Wir freuen uns auf Sie.Kurzinfos: • Lichtdurchflutete Innenräume • Grosszügige Grundrisse • Hochwertige Materialien • Moderne Ausstattung • Raumhohe Fenster • Private Aussenräume • Repräsentative, zeitlose und elegante Atmosphäre • Traumhafte Aussicht in die eigene Parklandschaft • Angenehmes Wohnklima durch Free-Cooling und Komfortlüftung • Bezug voraussichtlich 3. Quartal 2024 • Minergie-ECO zertifiziert • Strom stammt teilweise von eigenen PV-Anlagen auf den Dächern • Wärmeversorgung durch Erdsonden-Wärmepumpe • Einkaufsmöglichkeiten, Restaurants, Cafés und vieles mehr • Kindergarten und Schule • Öffentliche Verkehrsanbindungen wie Bus, S-Bahn und Fähre • Autobahnanschluss A3 • Abwechslungsreiche und kulturelle Veranstaltungen • Wunderschöne Zürichsee-Uferpromenade • Steuergünstige Gemeinde Nähere Infos erfahren Sie auf unserer Website: https://www.aura-horgen.chKonnten wir Ihr Interesse wecken?Wir freuen uns auf Sie.;1.5 rooms;120m²;,
Lutisbachweg 11, 6315 Oberägeri;EDENBLICK - Attraktive 1.5-Zimmerwohnung über dem See;"Leben über dem SeeIn Oberägeri entsteht an optimal besonnter Lage das Neubauprojekt ""EDENBLICK Ägerisee"" mit 90 modernen 1.5- bis 5.5- Zimmer-Eigentumswohnungen in 10 Mehrfamilienhäusern, welche voraussichtlich ab 2025 bezugsbereit sind.Sämtliche Unterlagen können Sie auf unserer Website unter Downloads heruntergeladen. • Termin online buchen - bitte Link kopieren: https://outlook.office365.com/owa/calendar/Edenblick@mobimo.onmicrosoft.com/bookings/Alle Wohnungen zeichnen sich durch folgende Annehmlichkeiten und Vorzüge aus: • Offene und interessante Grundrisse • Attraktives Aussenraumkonzept • Hochwertige und natürliche Materialien • Energieeffiziente Technologien • Private, nach Süden ausgerichtete Balkone / Terrassen • Seeparzelle zur Mitbenützung • Traumhafte Aussicht auf den Ägerisee und Alpengipfeln • Angenehmes Wohnklima durch Free-Cooling und Komfortlüftung EDENBLICK ist nachhaltig: • Die Heizung erfolgt per Wärmetauscher über die Seewassernutzung • Den Strom liefern Photovoltaik-Anlagen auf den Hausdächern. Diese speisen auch die Auto-Ladestationen in den Tiefgaragen Oberägeri bietet als Lage: • Oberhalb der Nebelgrenze • Vielzahl von lokalen Lebensmittelgeschäften und Hofläden • Attraktive Nähe zu Zug, Zürich und Luzern • Gute Verkehrsanbindung • Steuergünstige Gemeinde Nähere Infos erfahren Sie auf unserer Projekt-Website www.edenblick.ch. Konnten wir Ihr Interesse wecken?Termine für eine Besprechung direkt online buchen: Auf unserer Homepage: https://www.edenblick.ch.Wir freuen uns auf Sie.";1.5 rooms;20m²;,
Route de Cossonay 7, 1031 Mex;Prestigieuse promotion dans un lieu historique. LOGEMENTS dès 340'000.-;"Aux portes de Lausanne, jouissant d'une situation prestigieuse au sein du domaine du Château de Mex, ce séduisant projet donne naissance à 26 nouvelles résidences et confère une atmosphère seigneuriale sans égale. - Studios dès 340'000.- - Lots 2,5 pièces dès 550'000.-- Lots 3,5 pièces dès 87'000.-- Lots 4,5 pièces dès 2'030'000.-- Lot 5,5 pièces à 2'380'000.-Certains lots disposent « d'extérieurs privatifs » ou balcons.Parking souterrain et places extérieures (en sus du prix de vente).Livraison estimée : 2er semestre 207Au coeur d'un environnement enchanteur et protégé, composé de paysages champêtres et surfaces boisées, les appartements associent le charme d'antan et le confort moderne afin d'offrir un bien-être exemplaire à ses résidents.Une attention particulière est amenée afin de préserver l'essence de ce lieu historique tout en usant des dernières technologies respectueuses de la nature. - énergie solaire - chauffage à distance - isolation performante - fenêtres triple vitrages - chauffage au sol avec thermostat dans chaque pièce - choix des équipements, des matériaux et des finitions selon le budget alloué - compteur &amp; collecteur de chauffage individuels afin d'assurer une parfaite équité des chargesLa commune de Mex profite d'une agréable vie villageoise et bénéficie de la proximité de Lausanne et des villes environnantes ainsi que l'accès au réseau autoroutier.- Lausanne-centre, l'UNIL, l'EPFL ou Morges-centre à une dizaine de minutes- centres commerciaux, accès autoroute (A2 - A9) à 6 minutes- CHUV à environ 20 minutes- Aéroport de Genève à une quarantaine de minutesLe village dispose également du transport public (à 200 mètres du domaine) desservant les gares de Bussigny et de Cossonay.Brochures de vente contenant des informations complémentaires (descriptif, plans, photos, liste des lots) pour chaque lot.";2 rooms;7m²;,
1274 Signy;Superbe appartement avec vue lac;;1 room;120m²;,
1274 Signy;Superbe appartement avec vue lac;;2 rooms;170m²;,
Ischenstrasse 7, 6376 Emmetten;Exklusive Gelegenheit: Letzte verfügbare Wohnung in diesem hochwertigen Mehrfamilienhaus!;Im ruhigen Dorfzentrum von Emmetten erwartet Sie ein modernes Mehrfamilienhaus das Wohnkomfort und zeitgemässe Eleganz vereint. Diese 1.5 Zimmer-Wohnung im 1. Obergeschoss bietet eine Gesamtfläche von 160 m2 und zwei herrliche Balkone für entspannte Stunden im Freien. Hochwertige Feinsteinzeug-Fliesen oder edler Parkettboden schaffen eine behagliche Atmosphäre in jedem Raum.Ein Kellerabteil ist im Kaufpreis enthalten, und es besteht die Möglichkeit, einen Parkplatz in der Tiefgarage zu erwerben (Aufpreis CHF 35'000 pro Stellplatz).Die Wohnung bietet individuelle Gestaltungsmöglichkeiten, einschliesslich der Option, von 1.5 auf 5.5 Zimmer zu erweitern, mit einem luxuriösen Masterbedroom für ultimativen Komfort und Privatsphäre.Entscheiden Sie selbst, wie Ihr neues Zuhause aussehen soll – Ihr Traum von einem perfekt angepassten Wohnraum kann hier Wirklichkeit werden.Emmetten bietet steuergünstige Wohnbedingungen, eine optimale Autobahnanbindung und Erholung am Vierwaldstättersee sowie spektakuläre Ausblicke im Ski- und Wandergebiet Klewenalp. Eine erstklassige Bildung ist durch die Primarschule und die Oberstufe im Dorf gewährleistet, während die umliegende Natur zu Spaziergängen und Outdoor-Aktivitäten einlädt. Einkaufsmöglichkeiten in der Nähe machen den Alltag komfortabel.Kontaktieren Sie uns noch heute für weitere Informationen und einen Besichtigungstermin. Ihr neues Traumdomizil in Emmetten erwartet Sie!;1.5 rooms;160m²;,
