Address;Title;Description;Rooms;Living Space (sqm);Price
6443 Morschach;Grosszügige 3½-Zimmer Eigentumswohnung an einzigartiger Lage;;1.5 rooms;120m²;CHF 1,176,520.–
6443 Morschach;Grosszügige 4½-Zimmer Eigentumswohnung an einzigartiger Lage;;2.5 rooms;140m²;CHF 1,394,400.–
6443 Morschach;Grosszügige 3½-Zimmer Eigentumswohnung an einzigartiger Lage;;1.5 rooms;120m²;CHF 1,188,970.–
6443 Morschach;3½-Zimmer Eigentumswohnung mit grossem Balkon;;1.5 rooms;30m²;CHF 1,145,400.–
Unterstrickstrasse 6a, 6442 Gersau;Doppelhaus an atemberaubender Hanglage;;2.5 rooms;340m²;CHF 2,838,600.–
6443 Morschach;Grosszügige 4½-Zimmer Eigentumswohnung an einzigartiger Lage;;2.5 rooms;140m²;CHF 1,394,400.–
6443 Morschach;Grosszügige 3½-Zimmer Eigentumswohnung an einzigartiger Lage;;1.5 rooms;120m²;CHF 1,176,520.–
6443 Morschach;Grosszügige 2½-Zimmer Eigentumswohnung an Top-Lage;;1.5 rooms;27m²;CHF 1,033,350.–
6402 Merlischachen;HORIZON HEIGHTS | Duplex-Wohnung mit 180-Grad Panorama und Seesicht;"HORIZON HEIGHTS bietet eine grosszügige Duplex-Einheit mit Wohn- und Schlafgeschoss an super Aussichtslage. Die beiden Wohneinheiten sind innerhalb über eine Treppe miteinander verbunden und so direkt zugänglich. Zwei Balkone und ein Wintergarten bieten einen wunderbaren Aussenbereich.Das 3-Parteien-Haus befindet sich an erhöhter Lage im Dorf Merlischachen im steuergünstigen Kanton Schwyz, idyllisch zwischenKüssnacht am Rigi SZ und Meggen LU gelegen.Wohngeschoss:- Lift bis zur Wohnung- Grosszügiger Wohn-/Essbereich mit Zugang zum Wintergarten- Gedeckter Balkon mit Ausblick auf den See und dasBergpanorama- Offene Küche mit Frühstücksbar- Reduit neben der KücheSchlafgeschoss:- Hauptschlafzimmer mit Ankleide und ensuite Bad mit DU/WC- 2 Schlafzimmer als Kinderzimmer oder Büro nutzbar- Weiteres Bad mit DU/WC und Waschturm- Alle Zimmer haben direkten Zugang zum BalkonWissenswertes:- 3 Garagenplätze (1 Doppelgarage, 1 Garagenbox) bietendirekten Hauszugang- Zentrale Staubsaugeranlage und diverse Insektengitter- Kellerraum im EG ca. 15 m²- Möbel können ggf. übernommen werdenInformation:Bei mehreren Interessenten zum vollen Kaufpreis wird ein Bieterverfahren durchgeführt.Bei weiteren Fragen oder Interesse an einem Besichtigungstermin steht Ihnen gerne unser Senior Real Estate Consultant Herr Yannick R. Holliger zur Verfügung.------------------------------------------------------------------------------------------HORIZON HEIGHTS | Duplex Apartment with 180-Degree Panorama and Lake ViewHORIZON HEIGHTS offers a spacious duplex unit with living and bedroom floors in a superb, 180 degree panoramic location. The tworesidential units are connected internally by a staircase and are directly accessible. Two balconies and a conservatory provide a wonderful outdoor space.The 3-unit house is located in an elevated position in the village of Merlischachen, in the tax-friendly canton of Schwyz, nestled betweenKüssnacht am Rigi (SZ) and Meggen (LU), providing an idyllic setting.Living Floor:- Elevator to the apartment- Spacious living/dining area with access to the conservatory- Covered balcony with a view of the lake and the mountain panorama- Open kitchen with a breakfast bar- Utility room near the kitchenBedroom Floor:- Main bedroom with dressing room and ensuite bathroom withshower and toilet- 2 bedrooms useable as a children's rooms or an office- Another bathroom with shower, toilet and washing column- All rooms have direct access to the balconyFacts:- 3 garage parking spaces (1 double garage, 1 garage box) withdirect access to the house- Central vacuum system and various insect screens- Basement room on the ground floor; ca. 15 m²Information:If there are multiple interested parties at the full asking price, a bidding process will be conducted.If you have any further questions or are interested in an appointment, please do not hesitate to contact our Senior Real Estate Consultant Mr. Yannick R. Holliger.";2.5 rooms;170m²;CHF 3,349,050.–
8852 Altendorf;GARTEN MIT SEESICHT;Diese charmante Parterre-Wohnung in Altendorf bietet alles, was das Herz begehrt. Die 1.5 Zimmer und die grosszügige Wohnfläche von 29 m² versprechen ein gemütliches Zuhause. Geniessen Sie das helle Ambiente, den schönen Sitzplatz mit Garten und Seesicht sowie die Infrastruktur mit Aussenschwimmbad, gedeckter Lounge und Tennisplatz. Nur wenige Schritte trennen Sie vom Zürichsee, wo Sie die Natur in vollen Zügen geniessen können. Das Cheminée sorgt für wohlige Wärme an kalten Tagen und der Abstellraum / Werkraum bietet zusätzlichen Stauraum. Ein Kellerabteil und ein Garagenplatz für CHF 190.- runden das Angebot ab.Dieses BETTERHOMES-Angebot zeichnet sich durch folgende Vorteile aus:- hell, mit schönem Sitzplatz, Garten und Seesicht- Aussenschwimmbad mit gedeckter Lounge und Tennisplatz- in Gehdistanz am Zürichsee- Cheminée- Abstellraum / Werkraum mit Wasseranschluss vorhanden- Kellerabteil vorhanden- Garagenplatz für CHF 190.- vorhanden- und, und, und ...Interessiert? Kontaktieren Sie uns für eine unverbindliche Besichtigung – auch Online-Besichtigung möglich!Nichts Passendes gefunden? Über 2'300 weitere Angebote unter: www.betterhomes.ch - der Immobilienfairmittler®Selber eine Immobilie zu vermarkten?Profitieren Sie von unserem Know-how: https://www.betterhomes.ch/de/profitierenSie möchten eine Immobilie schätzen lassen?Erfahren Sie jetzt ihren Wert über unsere Gratis-Schätzung, sofort und unverbindlich!https://www.betterhomes.ch/de/knowledge/estimationMehr DetailsLage: zentral, steuergünstigZustand: gepflegtBäder / Nasszellen: 2 (1 x Badewanne / WC / Lavabo, 1 x WC / Dusche / Lavabo) Heizsystem: BodenheizungÖffentliche Verkehrsmittel: Zug, 500 mSchulen: Sekundarschule, 3 kmGeschäfte: Supermarkt, 400 m;1.5 rooms;29m²;CHF 1,606,050.–
