Title;Address;Rooms;Price
"""PANORAMA"", 3 REFH an exklusiver Lage mit Stadtblick";Im Eichbühl 54, 8405 Winterthur;5.5 Zimmer 136m² Wohnfläche;CHF 1’990’000.–
Erleben Sie Luxus und Komfort: Ihr exklusives Eigenheim in Winterthur.;8406 Winterthur;5.5 Zimmer 168m² Wohnfläche;Preis auf Anfrage
Einzug in den Sommerferien!;Weierholzstrasse 6, 8405 Winterthur-Gotzenwil;5.5 Zimmer 171m² Wohnfläche;CHF 1’492’500.–
Nahe S-Bahnhof;Tösstalstrasse, 8405 Winterthur;4.5 Zimmer 121m² Wohnfläche;CHF 1’110’000.–
BEZUGSBEREIT-ZENTRALE UND SEEEHR RUHIGE LAGE!;Oberseenerstrasse 46, 8405 Winterthur;4.5 Zimmer 234m² Wohnfläche;CHF 1’765’000.–
"""PANORAMA"", 3 REFH an exklusiver Lage mit Stadtblick";Im Eichbühl 52, 8405 Winterthur;5.5 Zimmer 136m² Wohnfläche;CHF 1’730’000.–
Nahe S-Bahnhof;Tösstalstrasse, 8405 Winterthur;4.5 Zimmer 122m² Wohnfläche;CHF 1’135’000.–
Von Sonne und Aussicht verwöhnt: Reihen-Einfamilienhäuser in Iberg-Winterthur (Baubeginn ist erfolgt);Chlösterlistrasse 80, 8405 Winterthur;5.5 Zimmer 197m² Wohnfläche;CHF 1’540’000.–
LICHTDURCHFLUTET, GROSSER BALKON AM SONNENHANG;8408 Winterthur;3.5 Zimmer 91m² Wohnfläche;CHF 950’000.–
Einladende und lichtdurchflutete Eigentumswohnung;Grüntalstrasse 16, 8405 Winterthur;4.5 Zimmer 105m² Wohnfläche;CHF 780’000.–
Einladende Eigentumswohnung mit verglastem Balkon;Grüntalstrasse 18, 8405 Winterthur;4.5 Zimmer 106m² Wohnfläche;CHF 750’000.–
Komfortable Eigentumswohnung im obersten Geschoss;Grüntalstrasse 20, 8405 Winterthur;4.5 Zimmer 106m² Wohnfläche;CHF 760’000.–
Terrassenwohnung in Winterthur;Gottfried-Keller-Strasse 71, 8400 Winterthur;3.5 Zimmer 84m² Wohnfläche;Preis auf Anfrage
Wohnliegenschaft mit Potenzial in Winterthur;Hörnlistrasse 66, 8400 Winterthur;594m² Wohnfläche;CHF 3’600’000.–
Gepflegte 4.5 Zimmer Wohnung an guter Verkehrslage;Geerackerweg 24, 8408 Winterthur;4.5 Zimmer 123m² Wohnfläche;CHF 995’000.–
Moderne Eleganz trifft auf Komfort: Traumhafte Maisonettewohnung mit Dachterrasse;Helgenstrasse 21f, 8404 Winterthur;3.5 Zimmer 122m² Wohnfläche;CHF 1’450’000.–
Grosszügige 6.5-Zimmer Doppelhaushälfte mit unverbaubarer Weitsicht;Winterthur, 8406 Winterthur;6.5 Zimmer 141m² Wohnfläche;CHF 1’395’000.–
Helle 4.5 Zimmer Ruheoase in Winterthur;Winterthur, 8404 Winterthur;4.5 Zimmer 125m² Wohnfläche;CHF 1’135’000.–
Ein Paradies für Ihre Familie;Gotzenwilerstrasse 6, 8405 Winterthur;4.5 Zimmer 136m² Wohnfläche;CHF 935’000.–
Einzigartiger Lifestyle am Brühlberg;Bergstrasse 11, 8400 Winterthur;4.5 Zimmer 94m² Wohnfläche;CHF 1’155’000.–
