Address;Title;Description;Rooms;Living Space (sqm);Price
Avocat-Bille 22, 2300 La Chaux-de-Fonds;LES Ô DU HAUT – 3ème Ouest;;113m²;;CHF 654,000.–
Rue de la Côte 11, 2013 Milvignes;Appartements à vendre sur plans - Rue de la Côte 11-13, 2013 Colombier;;3.5 rooms;93m²;CHF 860,000.–
2523 Lignières;VILLA DE STANDING DANS UN NOUVEAU QUARTIER !;;6.5 rooms;186m²;CHF 1,170,000.–
2206 Les Geneveys-sur-Coffrane;VOTRE APPARTEMENT NEUF PROCHE DE TOUT !;;3.5 rooms;91m²;CHF 463,000.–
2206 Les Geneveys-sur-Coffrane;MAGNIFIQUE APPARTEMENT NEUF AVEC GRAND JARDIN !;;4.5 rooms;139m²;CHF 712,000.–
2088 Cressier NE;Appartement de standing à quelques minutes de Neuchâtel;Découvrez ce magnifique appartement de 4.5 pièces en copropriété à Cressier! Situé dans un bâtiment en cours de construction et d'un parfait standing, cet appartement est un véritable bijou. Baigné de lumière et offrant une ambiance chaleureuse, il saura vous séduire dès le premier regard.Profitez d'un environnement paisible et verdoyant, parfait pour les familles avec enfants. Situé dans un charmant village avec tous les commerces nécessaires à proximité, vous bénéficierez également d'un accès facile aux transports en commun. Les écoles et les espaces de loisirs pour les plus petits sont également à quelques pas de chez vous.Avec une superficie de 111 m² habitables, cet appartement vous offre tout le confort dont vous avez besoin. Ne manquez pas l'opportunité d'acquérir ce véritable havre de paix, idéal pour une vie tranquille et épanouie à Cressier.Toutes les finitions intérieures sont au gré du preneur selon budgets alloués.La distribution se fait comme suit: • Hall d'entrée avec avec armoire penderie • Grand séjour de 48 m2 avec accès au jardin ou terrasse selon l'étage • Cuisine ouverte entièrement équipée avec îlot • Une suite parentale de 14 m2 avec salle de bain/WC • Deux chambres de 13 et 12 m2 • Une salle de douche/WC avec raccordement pour colonne de lavage Points forts: • Petites PPE de 8 appartements comprenant un appartement par étage • Grand jardin pour les appartements du rez-de-chaussée • Situation calme proche des écoles et des transports en communs • Accès facile pour personnes à mobilité réduite Deux places de parc par appartement sont disponibles situées dans le garage souterrain (en sus du prix).Prix de vente: dès CHF 790'000.-Pour plus d'information n'hésitez pas de nous contacter :Courtage - Mark Besserer : +41 79 157 35 35Courtage - Zacharie Eloire : +41 79 287 20 19Entdecken Sie diese wunderschöne 4,5-Zimmer-Eigentumswohnung in Cressier! Diese Wohnung befindet sich in einem im Bau befindlichen Gebäude mit perfektem Standard und ist ein wahres Schmuckstück. Sie ist lichtdurchflutet und bietet eine warme Atmosphäre, die Sie auf den ersten Blick begeistern wird.Genießen Sie eine friedliche und grüne Umgebung, die perfekt für Familien mit Kindern ist. In einem charmanten Dorf gelegen, mit allen notwendigen Geschäften in der Nähe, profitieren Sie außerdem von einem einfachen Zugang zu öffentlichen Verkehrsmitteln. Schulen und Freizeitmöglichkeiten für die Kleinsten sind ebenfalls nur wenige Schritte entfernt.Mit einer Wohnfläche von 111 m² bietet Ihnen diese Wohnung allen Komfort, den Sie brauchen. Verpassen Sie nicht die Gelegenheit, diese wahre Oase des Friedens zu erwerben, die ideal für ein ruhiges und erfülltes Leben in Cressier ist.Alle Innenausstattungen sind nach Belieben des Käufers gemäß den zugewiesenen Budgets möglich.Die Aufteilung erfolgt wie folgt: • Eingangshalle mit mit Garderobenschrank . • Großes Wohnzimmer von 48 m2 mit Zugang zum Garten oder zur Terrasse je nach Etage . • Vollständig ausgestattete offene Küche mit Insel . • Elternsuite von 14 m2 mit Bad/WC . • Zwei Schlafzimmer von 13 und 12 m2 . • Ein Duschbad/WC mit Anschluss für Waschsäule . Highlights: • Kleine Eigentumswohnung mit 8 Wohnungen, bestehend aus einer Wohnung pro Etage • Großer Garten für die Wohnungen im Erdgeschoss • Ruhige Lage in der Nähe von Schulen und öffentlichen Verkehrsmitteln • Einfacher Zugang für Menschen mit eingeschränkter Mobilität Zwei Parkplätze pro Wohnung sind verfügbar und befinden sich in der Tiefgarage (zusätzlich zum Preis).Verkaufspreis: ab CHF 790'000.-Für...;4.5 rooms;111m²;CHF 790,000.–
2088 Cressier NE;Démarrage du chantier!!!;Découvrez ce magnifique appartement de 3.5 pièces en copropriété à Cressier!Situé dans un bâtiment en cours de construction et d'un parfait standing, cet appartement est un véritable bijou. Baigné de lumière et offrant une ambiance chaleureuse, il saura vous séduire dès le premier regard.Profitez d'un environnement paisible et verdoyant, parfait pour les familles avec enfants. Situé dans un charmant village avec tous les commerces nécessaires à proximité, vous bénéficierez également d'un accès facile aux transports en commun. Les écoles et les espaces de loisirs pour les plus petits sont également à quelques pas de chez vous.Avec une superficie de 89 m² habitables, cet appartement vous offre tout le confort dont vous avez besoin. Ne manquez pas l'opportunité d'acquérir ce véritable havre de paix, idéal pour une vie tranquille et épanouie à Cressier.Toutes les finitions intérieures sont au gré du preneur selon budgets alloués.La distribution se fait comme suit: • Hall d'entrée avec avec armoire penderie • Grand séjour de 40 m2 avec accès au jardin ou terrasse selon l'étage • Cuisine ouverte entièrement équipée avec îlot • Une suite parentale de 15 m2 avec salle de bain/WC • Une chambre de 13 m2 • Une salle de douche/WC avec raccordement pour colonne de lavage Points forts: • Petites PPE de 8 appartements comprenant un appartement par étage • Grand jardin pour les appartements du rez-de-chaussée • Situation calme proche des écoles et des transports en communs • Accès facile pour personnes à mobilité réduite Deux places de parc par appartement sont disponibles situées dans le garage souterrain (en sus du prix).Prix de vente: dès CHF 655'000.-.Pour plus d'information n'hésitez pas de nous contacter :Courtage - Mark Besserer : +41 79 157 35 35Courtage - Zacharie Eloire : +41 79 287 20 19Entdecken Sie diese wunderschöne 3,5-Zimmer-Eigentumswohnung in Cressier!Diese Wohnung befindet sich in einem im Bau befindlichen Gebäude mit perfektem Standard und ist ein wahres Schmuckstück. Lichtdurchflutet und mit einer warmen Atmosphäre wird sie Sie schon auf den ersten Blick begeistern.Genießen Sie eine friedliche und grüne Umgebung, die perfekt für Familien mit Kindern ist. In einem charmanten Dorf gelegen, mit allen notwendigen Geschäften in der Nähe, profitieren Sie außerdem von einem einfachen Zugang zu öffentlichen Verkehrsmitteln. Schulen und Freizeitmöglichkeiten für die Kleinsten sind ebenfalls nur wenige Schritte entfernt.Mit einer Wohnfläche von 89 m² bietet Ihnen diese Wohnung allen Komfort, den Sie brauchen. Verpassen Sie nicht die Gelegenheit, diese wahre Oase des Friedens zu erwerben, die ideal für ein ruhiges und erfülltes Leben in Cressier ist.Alle Innenausstattungen sind nach Belieben des Käufers gemäß den zugewiesenen Budgets möglich.Die Aufteilung erfolgt wie folgt: • Eingangshalle mit mit Garderobenschrank . • Großes Wohnzimmer von 40 m2 mit Zugang zum Garten oder zur Terrasse je nach Etage . • Vollständig ausgestattete offene Küche mit Insel . • Elternsuite von 15 m2 mit Bad/WC . • Ein Schlafzimmer von 13 m2 . • Ein Duschbad/WC mit Anschluss für Waschsäule . Highlights: • Kleine Eigentumswohnung mit 8 Wohnungen, bestehend aus einer Wohnung pro Etage • Großer Garten für die Wohnungen im Erdgeschoss • Ruhige Lage in der Nähe von Schulen und öffentlichen Verkehrsmitteln • Einfacher Zugang für Menschen mit eingeschränkter Mobilität Zwei Parkplätze pro Wohnung sind verfügbar und befinden sich in der Tiefgarage (zusätzlich zum Preis).Verkaufspreis: ab CHF 655'000.-.Für weitere...;3.5 rooms;89m²;CHF 650,000.–
2206 Les Geneveys-sur-Coffrane;VOTRE APPARTEMENT NEUF PROCHE DE TOUT !;;3.5 rooms;91m²;CHF 465,000.–
2206 Les Geneveys-sur-Coffrane;SUBLIME DUPLEX SPACIEUX AU DERNIER ÉTAGE !;;5.5 rooms;129m²;CHF 650,000.–
Quartier du Pillial, 2123 St-Sulpice NE;Occasion en or ! 6 logements neufs avec choix des finitions;;4.5 rooms;97m²;CHF 455,000.–
