Address;Title;Description;Rooms;Living Space (sqm);Price
Oberzelglistrasse 30, 6390 Engelberg;NEUBAU Letzte Wohnung, The Falcon Engelberg;;1.5 rooms;160m²;CHF 2,739,000.–
6062 Wilen (Sarnen);2.5-Zimmerwohnung im 1. Obergeschoss;;2.5 rooms;150m²;CHF 1,680,750.–
6062 Wilen (Sarnen);2.5-Zimmerwohnung im Erdgeschoss;;2.5 rooms;130m²;CHF 1,568,700.–
6062 Wilen (Sarnen);2.5-Zimmer-Maisonettewohnung im Dachgeschoss;;2.5 rooms;190m²;CHF 2,415,300.–
6390 Engelberg;SCHÖNE LAGE MIT VIEL KOMFORT;Diese Doppelhaushälfte in Engelberg bietet alles, was das Herz begehrt. Mit 2 Zimmern und einer Wohnfläche von 160 m² eignet Sie sich perfekt für eine Familie oder als Zweitwohnsitz. Die Terrassen und Sitzplätze bieten eine atemberaubende Bergsicht, ideal zum Entspannen. Die hochwertige Ausstattung, wie der Whirlpool im oberen Schlafzimmer und das Cheminée, schaffen eine gemütliche Atmosphäre. Zudem bieten die Einbauschränke viel Stauraum und die voll ausgestatteten Küchen lassen keine Wünsche offen. Zwei Tiefgaragenplätze runden dieses Angebot ab.Dieses BETTERHOMES-Angebot zeichnet sich durch folgende Vorteile aus:- das Haus kann als eine Einheit bewohnt werden oder in zwei Haushalte geteilt werden- Terrassen und Sitzplätze mit schöner Bergsicht- pfelgeleicher Plattenboden und Laminat in den Zimmern- Einbauschränke mit viel Stauraum in den Schlafzimmern- oberes Schlafzimmer mit grossem Whirlpool zum entspannen- Cheminée für ein wohliges Ambiente- pro Wohnung eine voll ausgestattete Küche- abschliessbare hochwertige Box 7 m² für Gartenmöbel und Ski vorhanden- das Haus komplett möbliert und sehr gut ausgestattet, Reduit mit Waschturm- zwei Tiefgaragenplätze sind im Preis inklusive- und, und, und ...Interessiert? Kontaktieren Sie uns für eine unverbindliche Besichtigung – auch Online-Besichtigung möglich!Nichts Passendes gefunden? Über 2'300 weitere Angebote unter: www.betterhomes.ch - der Immobilienfairmittler®Selber eine Immobilie zu vermarkten?Profitieren Sie von unserem Know-how: https://www.betterhomes.ch/de/profitierenSie möchten eine Immobilie schätzen lassen?Erfahren Sie jetzt ihren Wert über unsere Gratis-Schätzung, sofort und unverbindlich!https://www.betterhomes.ch/de/knowledge/estimationMehr DetailsLage: sehr ruhig mit guter Busverbindung Zustand: sehr gepflegt Bäder / Nasszellen: 3 (1 x Badewanne / Lavabo / WC, 1 x Dusche / Lavabo / WC, 1 x Whirlpool / Lavabo)Heizsystem: Elektroradiatoren und Cheminée Öffentliche Verkehrsmittel: Bushaltestelle Vorderstockli, 230 mSchulen: Kindergarten / Primarschule / Oberstufe Stiftschule Engelberg, 1 kmGeschäfte: Wetti Lädeli, 1 km / Coop / Migros, 1.2 km;2 rooms;160m²;CHF 2,490,000.–
Kerns, 6064 Kerns;Exklusives Familienhaus mit Bergblick in Kerns ? Ihr Traumzuhause;Dieses Haus besticht nicht nur durch seine qualitativ hochwertige Ausstattung, sondern auch durch den gut erhaltenen Zustand, was Ihnen einen sorgenfreien Einzug ermöglicht. Der Garten lädt zu gemütlichen Stunden im Freien ein und bietet Platz für Ihre individuellen Gestaltungsideen.Die schöne, sonnige Lage in Kerns schafft eine ideale Umgebung für Familien und ermöglicht gleichzeitig einen beeindruckenden Blick auf die umliegenden Berge.Zögern Sie nicht länger ? vereinbaren Sie noch heute einen Besichtigungstermin und entdecken Sie, wie sich Ihr Traum vom perfekten Familienhaus in Kerns erfüllen kann! Genaue Adresse verfügbar nach Registrierung auf neho.ch.AN EINER BESICHTIGUNG INTERESSIERT? BITTE ANMELDEN: https://neho.ch/b/6064-24-1;2.5 rooms;230m²;CHF 2,851,050.–
6053 Alpnachstad;Gehobene und offene 2.5-Zimmer-Wohnung mit attraktiver Sicht auf See und Berge in Alpnachstad;;2.5 rooms;160m²;CHF 1,456,650.–
Neubrunhofweg, 6010 Kriens;Willkommen im familienfreundlichen Kriens-Obernau: Attraktive Eigentumswohnungen im Neubauquartier;"Attraktive Eigentumswohnungen im Neubauquartier mit Dörfli-CharakterDie nach Süden ausgerichteten Wohnungen schaffen ein schönes Raumgefühl mit viel Licht und Aussicht auf den Hergiswald und den Pilatus. Jede Wohnung verfügt über einen grosszügigen Wohn- und Essbereich sowie eine Loggia mit bodentiefen Fenstern.Die Wohnung im Erdgeschoss sowie eine der Wohnungen im ersten Obergeschoss haben eigene Gartenflächen. Die beiden Wohnungen im dritten Obergeschoss profitieren von exklusiven Dachterrassen mit viel Privatsphäre.Die Freiraumgestaltung bietet aber noch viel mehr für Jung und Alt: In Zusammenarbeit mit der benachbarten Baugenossenschaft werden gemeinsame Begegnungs- und Spielbereiche für die Bewohner des kleinen Neubauquartiers erstellt.Die nächste Bushaltestelle ""Stampfeli"" ist eine Gehminute entfernt und bietet alle sieben Minuten eine schnelle Busverbindung in die Stadt Luzern.Die 2.5-Zimmer-Wohnung ""B"" im 3. Obergeschoss zeichnet sich durch folgende Highlights aus:- Grosszügige Dachterrasse- Helle Räume- LoggiaWeitere Informationen finden Sie zudem auf unserer Projektwebseite: www.dellacasa.group/neubrunhofHaben wir Ihr Interesse geweckt? Gerne senden wir Ihnen die Verkaufsdokumentation zu und stehen für eine persönliche Besprechung zur Verfügung.";2.5 rooms;130m²;CHF 1,774,120.–
Neubrunhofweg, 6010 Kriens;Willkommen im familienfreundlichen Kriens-Obernau: Attraktive Eigentumswohnungen im Neubauquartier;"Attraktive Eigentumswohnungen im Neubauquartier mit Dörfli-CharakterDie nach Süden ausgerichteten Wohnungen schaffen ein schönes Raumgefühl mit viel Licht und Aussicht auf den Hergiswald und den Pilatus. Jede Wohnung verfügt über einen grosszügigen Wohn- und Essbereich sowie eine Loggia mit bodentiefen Fenstern.Die Wohnung im Erdgeschoss sowie eine der Wohnungen im ersten Obergeschoss haben eigene Gartenflächen. Die beiden Wohnungen im dritten Obergeschoss profitieren von exklusiven Dachterrassen mit viel Privatsphäre.Die Freiraumgestaltung bietet aber noch viel mehr für Jung und Alt: In Zusammenarbeit mit der benachbarten Baugenossenschaft werden gemeinsame Begegnungs- und Spielbereiche für die Bewohner des kleinen Neubauquartiers erstellt.Die nächste Bushaltestelle ""Stampfeli"" ist eine Gehminute entfernt und bietet alle sieben Minuten eine schnelle Busverbindung in die Stadt Luzern.Die 2.5-Zimmer-Wohnung ""C"" im 2. Obergeschoss zeichnet sich durch folgende Highlights aus:- Hohe Räume (2.45m)- LoggiaWeitere Informationen finden Sie zudem auf unserer Projektwebseite: www.dellacasa.group/neubrunhofHaben wir Ihr Interesse geweckt? Gerne senden wir Ihnen die Verkaufsdokumentation zu und stehen für eine persönliche Besprechung zur Verfügung.";2.5 rooms;130m²;CHF 1,369,500.–
Neubrunhofweg, 6010 Kriens;Willkommen im familienfreundlichen Kriens-Obernau: Attraktive Eigentumswohnungen im Neubauquartier;"Attraktive Eigentumswohnungen im Neubauquartier mit Dörfli-CharakterDie nach Süden ausgerichteten Wohnungen schaffen ein schönes Raumgefühl mit viel Licht und Aussicht auf den Hergiswald und den Pilatus. Jede Wohnung verfügt über einen grosszügigen Wohn- und Essbereich sowie eine Loggia mit bodentiefen Fenstern.Die Wohnung im Erdgeschoss sowie eine der Wohnungen im ersten Obergeschoss haben eigene Gartenflächen. Die beiden Wohnungen im dritten Obergeschoss profitieren von exklusiven Dachterrassen mit viel Privatsphäre.Die Freiraumgestaltung bietet aber noch viel mehr für Jung und Alt: In Zusammenarbeit mit der benachbarten Baugenossenschaft werden gemeinsame Begegnungs- und Spielbereiche für die Bewohner des kleinen Neubauquartiers erstellt.Die nächste Bushaltestelle ""Stampfeli"" ist eine Gehminute entfernt und bietet alle sieben Minuten eine schnelle Busverbindung in die Stadt Luzern.Die 2.5-Zimmer-Wohnung ""D"" im 2. Obergeschoss zeichnet sich durch folgende Highlights aus:- Hohe Räume (2.45m)- LoggiaWeitere Informationen finden Sie zudem auf unserer Projektwebseite: www.dellacasa.group/neubrunhofHaben wir Ihr Interesse geweckt? Gerne senden wir Ihnen die Verkaufsdokumentation zu und stehen für eine persönliche Besprechung zur Verfügung.";2.5 rooms;130m²;CHF 1,369,500.–
