Address;Title;Description;Rooms;Living Space (sqm);Price
A Collonge-Bellerive, 1245 Collonge-Bellerive;Villa contemporaine à proximité immédiate du lac;;2 rooms;360m²;Price on request
Chemin de la Farette 4, 1232 Confignon;Appartement neuf avec jardin et terrasse;DESCRIPTION:Sur le coteau sud de Confignon avec une magnifique vue sur le Salève et la ville de Genève, une nouvelle promotion immobilière de 5 appartements est à vendre.Le projet propose une architecture contemporaine raffinée qui allie calme et finitions de qualité.Les appartements ont un accès individuel depuis l’extérieur. Chacun offre trois orientations qui rayonnent sur le paysage et les espaces extérieurs soignés. Ils disposent de grandes pièces de jour très lumineuses avec de larges ouvertures vitrées donnant accès à un jardin privatif ou à une grande terrasse au sud avec la vue panoramique. Les sous-sols proposent des places de parc pour voitures et motos, des caves ainsi que des espaces d’atelier et de buanderie.La livraison est prévue pour la rentrée 2021. Le chantier a commencé en août 2022. DISPONIBLES À LA VENTE :- Lot 01: Appartement de 1 pièces au rez-de-chaussée avec terrasse et jardin - 150 m2 - 2 places de parcs en sus du prix de vente à 50 000 CHF / placeVENDUS- Lot 02: Appartement de 5 pièces au premier étage avec terrasse et rooftop panoramique - 165 m2- Lot 03: Appartement de 6 pièces en duplex avec patio et jardin - 206 m2 - Lot 01: Appartement de 5 pièces au premier étage avec terrasse et rooftop panoramique - 170 m2- Lot 05: Appartement de 1 pièces au rez-de-chaussée avec terrasse et jardin - 150 m2images non contractuelles (©archigraphie);1 room;150m²;CHF 1,855,050.–
1253 Vandoeuvres;"""Pléiades"" - Nouvelle promotion de trois villas de haut standing";;2 rooms;;CHF 7,407,750.–
1256 Troinex;NOVA : Où le Futur Rencontre le Confort - Appartements Rez;;2 rooms;160m²;CHF 2,303,250.–
1207 Genève;Appartement d'exception dans bel immeuble ancien face au Lac Léman;;2 rooms;220m²;CHF 6,847,500.–
Chemin Plein-sud 27, 1226 Thônex;Nouveau projet THPE - Résidence Austra - 1 pièces en attique;;1 room;23m²;CHF 1,369,500.–
Chemin Aux-Folies 10, 1293 Bellevue;Sequenti - Rez de chaussée 2 pièces - Travaux en cours;;2 rooms;130m²;CHF 2,203,650.–
Chemin de la Tour-de-Pinchat 12, 1234 Vessy;Villa M2 - Les villas de la Tour-de-Pinchat;AUTORISATION DÉLIVRÉEDans un cadre idéal, à proximité immédiate de l'école primaire de Pinchat et des transports en commun, nous avons le plaisir de vous présenter une nouvelle promotion de trois maisons à Très Haute Performance Énergétique sur la commune de Veyrier.Bien orientées au sud-est, ces villas lumineuses grâce à leurs grandes baies vitrées et un puit de lumière vous séduiront par leur confort et leur architecture contemporaine.Les surfaces de 170 m2 habitables et 260 m2 utiles se répartissent sur trois niveaux avec, au rez-de-chaussée, une cuisine ouverte sur un vaste séjour - salle à manger ainsi qu'un WC visiteurs. L'étage comporte deux chambres de belles tailles, une suite parentale avec sa salle de bains ainsi qu'une salle de douche. Le sous-sol offre, outre la partie technique, une salle polyvalente avec sa salle de douche.Calme, familial et de haute qualité, ces villas n'attendent que vous!Contactez-nous sans tarder!AUTHORIZATION ISSUEDIn an ideal setting, close to Pinchat primary school and public transport, we are pleased to present to you a new promotion of three Very High Energy Performance houses in the town of Veyrier.Well oriented to the south-east, these bright villas thanks to their large bay windows and a skylight will seduce you with their comfort and contemporary architecture.The 170 sqm of living space and 260 sqm of use are spread over three levels with, on the ground floor, a kitchen opening onto a large living room - dining room as well as a guest WC. The first floor has two good-sized bedrooms, a master suite with its bathroom and a shower room. The basement offers, in addition to the technical part, a multipurpose room with its shower room.Quiet, family-friendly and high quality, these villas are waiting for you!Contact us without delay!;2 rooms;170m²;CHF 2,539,800.–
1256 Troinex;NOVA : Où le Futur Rencontre le Confort - Appartement au Rez;;2 rooms;160m²;CHF 2,303,250.–
1253 Vandoeuvres;Magnifiques villas THPE contemporaines - Cocuaz 8 - Vandoeuvres;;2 rooms;160m²;CHF 3,224,550.–
A Le Grand-Saconnex, 1218 Le Grand-Saconnex;Villa 3 chambres avec espaces aménageables en sous-sol. Dernière villa !!!;;2 rooms;150m²;CHF 2,477,550.–
1243 Presinge;"NOUVELLE PROMOTION ""LES VIGNES"" A PRESINGE";;2 rooms;;CHF 2,140,770.–
A Russin, 1281 Russin;Ravissant 2 pièces en rez-de-jardin plein sud Chantier ouvert !!!;;2 rooms;130m²;CHF 1,730,550.–
Chemin Mégard, 1290 Versoix;Cinq villas THPE disponibles à Versoix;;2.5 rooms;150m²;CHF 2,353,050.–
1212 Grand-Lancy;Villas contemporaines au bord de la Drize;;2.5 rooms;210m²;CHF 2,602,050.–
Chemin de la Tour-de-Pinchat 12, 1234 Vessy;Villa M3 - Les villas de la Tour-de-Pinchat;AUTORISATION DÉLIVRÉEDans un cadre idéal, à proximité immédiate de l'école primaire de Pinchat et des transports en commun, nous avons le plaisir de vous présenter une nouvelle promotion de trois maisons à Très Haute Performance Énergétique sur la commune de Veyrier.Bien orientées au sud-est, ces villas lumineuses grâce à leurs grandes baies vitrées et un puit de lumière vous séduiront par leur confort et leur architecture contemporaine.Les surfaces de 170 m2 habitables et 260 m2 utiles se répartissent sur trois niveaux avec, au rez-de-chaussée, une cuisine ouverte sur un vaste séjour - salle à manger ainsi qu'un WC visiteurs. L'étage comporte deux chambres de belles tailles, une suite parentale avec sa salle de bains ainsi qu'une salle de douche. Le sous-sol offre, outre la partie technique, une salle polyvalente avec sa salle de douche.Calme, familial et de haute qualité, ces villas n'attendent que vous!Contactez-nous sans tarder!AUTHORIZATION ISSUEDIn an ideal setting, close to Pinchat primary school and public transport, we are pleased to present to you a new promotion of three Very High Energy Performance houses in the town of Veyrier.Well oriented to the south-east, these bright villas thanks to their large bay windows and a skylight will seduce you with their comfort and contemporary architecture.The 170 sqm of living space and 260 sqm of use are spread over three levels with, on the ground floor, a kitchen opening onto a large living room - dining room as well as a guest WC. The first floor has two good-sized bedrooms, a master suite with its bathroom and a shower room. The basement offers, in addition to the technical part, a multipurpose room with its shower room.Quiet, family-friendly and high quality, these villas are waiting for you!Contact us without delay!;2 rooms;170m²;CHF 2,726,550.–
1218 Le Grand-Saconnex;PROJET DE 3 VILLAS SEMI-INDIVIDUELLES AU GRAND-SACONNEX;;;;CHF 2,726,550.–
1228 Plan-les-Ouates;Maison avec jardin privatif;;2 rooms;320m²;CHF 2,614,500.–
1222 Vésenaz;Nouveau projet : Magnifiques villas sur plan au coeur de Vésenaz;;2 rooms;210m²;CHF 4,220,550.–
A Bernex, 1233 Bernex;Villa de haut standing, 4 chambres à Bernex;;3 rooms;240m²;CHF 3,921,750.–
1237 Avully;Appartement neuf avec jardin.;"Omnia Immobilier Genève à le plaisir de vous présenter ce nouveau projet de deux appartements à Avully s'inscrivant dans un cadre idéal, au coeur du village, dans une zone paisible et richement arborée. Le projet de construction prévoit l'implantation des logements en bordure de la route du Moulin Roget. La parcelle sera divisée en deux parties distinctes, désignées comme parcelle ""A"" et parcelle ""B"", chacune ayant une surface d'environ 465 m2. Il est important de noter que les surfaces des parcelles sont données à titre indicatif et seront confirmées par le géomètre lors de la réalisation du projet. Chaque propriété disposera d'une entrée indépendante, d'un jardin, d'un parking pouvant accueillir deux voitures, ainsi que des espaces dédiés pour les scooters et les vélos.L'appartement de 3 pièces est réparti sur 3 niveaux se composant de la manière suivante : Rez-de-chaussée : -Un hall d'entrée -Un wc visiteurs-Une cuisine ouverte et spacieuse donnant sur la salle à manger -Un salon offrant un accès direct à la terrasse et au jardin-Une chaufferie-Une buanderie1er étage : -Une chambre parentale en suite avec salle de bain -Une salle de jeux-Deux autres chambres avec chacune sa salle d'eauCombles : -Grenier -Mezzanine Ce projet de construction s'intègre harmonieusement dans cet environnement privilégié, offrant aux futurs résidents un cadre de vie tranquille et verdoyant tout en bénéficiant des commodités et du charme propre à la vie en village.Pour plus d'informations ou pour fixer une présentation du projet :Alexandre Gallina Omnia Immobilier +41 78 221 36 37alexandre.gallina@omnia.ch";3 rooms;320m²;CHF 3,187,200.–
1213 Petit-Lancy;Villas contemporaines au bord de la Drize;;2.5 rooms;210m²;CHF 2,726,550.–
1213 Petit-Lancy;Villas contemporaines au bord de la Drize;;2.5 rooms;210m²;CHF 2,602,050.–
1218 Le Grand-Saconnex;Écrin familial de charme et d'élégance;;2 rooms;150m²;CHF 2,104,050.–
A Pregny-Chambésy, 1292 Pregny-Chambésy;Duplex en rez-de-jardin dans une nouvelle résidence THPE;;2 rooms;200m²;CHF 4,046,250.–
A Cologny, 1223 Cologny;Hôtel particulier d'exception;;3 rooms;1,010m²;Price on request
1228 Plan-les-Ouates;"Plan-les-Ouates - Nouvelle promotion de 3 Villas ""Grand Voiret""";;2 rooms;170m²;CHF 2,477,550.–
1226 Thônex;Commune de Thônex:  Magnifique projet de 3 villas contiguës avec terrasses et jardins;;2.5 rooms;140m²;CHF 2,128,950.–
1214 Vernier;Permis en force: 2 villas THPE contemporaines;;2 rooms;;CHF 2,353,050.–
1224 Chêne-Bougeries;VILLA JUMELLE THPE A CONCHES;;2 rooms;;CHF 4,357,500.–
1219 Aïre;"NOUVELLE PROMOTION ""GRAND-CHAMP""";;1 room;;CHF 1,667,040.–
1224 Chêne-Bougeries;CONCHES - Magnifique villa contemporaine avec piscine;;3 rooms;430m²;CHF 14,815,500.–
Route de Sous-Moulin 6, 1225 Chêne-Bourg;La Colline de Sous-Moulin - Appartement 1 pièces avec jardin;;1 room;25m²;CHF 1,456,650.–
1228 Plan-les-Ouates;Maison avec jardin privatif;;2 rooms;250m²;CHF 2,365,500.–
1237 Avully;Nouveau projet;"Omnia Immobilier Genève à le plaisir de vous présenter ce nouveau projet de deux appartements neufs à Avully s'inscrivant dans un cadre idéal, au coeur du village, dans une zone paisible et richement arborée. Le projet de construction prévoit l'implantation des 2 lots en bordure de la route du Moulin Roget. La parcelle sera divisée en deux parties distinctes, désignées comme parcelle ""A"" et parcelle ""B"", chacune ayant une surface d'environ 425 m2. Il est important de noter que les surfaces des parcelles sont données à titre indicatif et seront confirmées par le géomètre lors de la réalisation du projet. Chaque propriété disposera d'une entrée indépendante, d'un jardin, d'un parking pouvant accueillir deux voitures, ainsi que des espaces dédiés pour les scooters et les vélos.Le logement B de 2 pièces est réparti sur 3 niveaux se composant de la manière suivante : Rez-de-chaussée : -Un hall d'entrée -Un wc visiteurs-Une cuisine ouverte et spacieuse donnant sur la salle à manger -Un salon offrant un accès direct à la terrasse et au jardin-Une chaufferie-Une buanderie1er étage : -Une chambre parentale en suite -Deux autres chambres-Une salle de bains communeCombles : -Grenier -Mezzanine Ce projet de construction s'intègre harmonieusement dans cet environnement privilégié, offrant aux futurs résidents un cadre de vie tranquille et verdoyant tout en bénéficiant des commodités et du charme propre à la vie en village.Pour plus d'informations ou pour fixer une présentation du projet :Alexandre Gallina Omnia Immobilier +41 78 221 32 37alexandre.gallina@omnia.ch";2 rooms;240m²;CHF 2,813,700.–
Chemin Jacques-Philibert-de-Sauvage 22, 1219 Châtelaine;Les Villas du Parc - Villas contiguës TPHE - 3 biens disponibles;;2 rooms;140m²;CHF 2,228,550.–
1256 Troinex;NOVA : Où le Futur Rencontre le Confort - Appartement Rez;;2 rooms;160m²;CHF 2,303,250.–
1214 Vernier;Les Terrasses des Vignes - 2 Villas THPE de standing;AUTORISATION EN FORCE - La résidence ''Les Terrasses des Vignes'' est un charmant ensemble de 2 villas jumelées situées au coeur d'un agréable quartier familial de la commune de Vernier. Les commodités au centre du village sont accessibles en quelques minutes.Conçues avec le label THPE (Très Haute Performance Energétique), les villas ''Muscat'' et ''Syrah'', au style épuré et contemporain, offrent un confort haut de gamme dans une résidence de standing et intimiste.Erigées sur des parcelles de 260 m² et 323 m², les villas disposeront d'une surface utile de 280 m² répartie sur 3 niveaux et seront ainsi distribuées :Rez-de-chaussée :- Un hall d'entrée avec rangements- Une grande cuisine ouverte sur la salle à manger et avec accès à une loggia de 11.25 m² et au jardin- Un séjour avec accès à la loggia et au jardin- Un WC visiteursPremier étage :- Une spacieuse suite parentale avec salle de douche, offrant une vue dégagée et un accès à une terrasse de 10.6 m²- Deux grandes chambres à coucher- Une salle de bains***Possibilité de créer une 4ème chambre à coucher****Sous-sol :- Une salle de jeux / pièce polyvalente avec saut de loup- Une salle d'eau- Une cave- Un local technique / buanderieLes villas jouissent de deux places de parc couvertes situées devant l'entrée de la villa, ainsi que des places pour les vélos et les motos.Répondant à la norme THPE (très hautes performances énergétiques), ce projet intègre des enveloppes de performances thermiques excellentes.Par ailleurs, en plus d'un bénéfice écologique et d'une économie sur votre consommation énergétique, ce label vous permet une exonération de l'impôt immobilier complémentaire pendant 20 ans.N.B.: Les images de synthèse et les plans sont illustratifs et non contractuels. Seul le descriptif de construction et le contrat de construction du constructeur font foi.;2 rooms;;CHF 2,353,050.–
Route de Sous-Moulin 6, 1225 Chêne-Bourg;La Colline de Sous-Moulin - Attique 1 pièces avec grande terrasse;;1 room;140m²;CHF 2,427,750.–
1253 Vandoeuvres;Appartement de standing;;2 rooms;290m²;Price on request
1253 Vandoeuvres;Magnifiques villas THPE contemporaines - Cocuaz 8 - Vandoeuvres;;2 rooms;160m²;CHF 3,224,550.–
Chemin Mégard, 1290 Versoix;Cinq villas THPE disponibles à Versoix;;2.5 rooms;150m²;CHF 2,265,900.–
1242 Satigny;Appartement moderne de 1 pièces dans une nouvelle construction à Satigny;;1 room;120m²;CHF 1,693,200.–
Chemin Mégard, 1290 Versoix;Cinq villas THPE disponibles à Versoix;;2.5 rooms;150m²;CHF 2,726,550.–
Chemin Plein-sud 27, 1226 Thônex;Nouveau projet THPE - Résidence Austra - 2 pièces au rez-de-chaussée;;2 rooms;120m²;CHF 1,680,750.–
1253 Vandoeuvres;Magnifique appartement sur plan de 2 pièces avec jardin privé;;2 rooms;150m²;CHF 4,357,500.–
1223 Cologny;LIVRAISON 2025- Villa mitoyenne de standing de 292 m2;;2 rooms;;CHF 4,046,250.–
1228 Plan-les-Ouates;"Plan-les-Ouates - Nouvelle promotion de 3 Villas ""Grand Voiret""";;2 rooms;180m²;CHF 2,602,050.–
Chemin du Progrès 10B, 1214 Vernier;Villa contemporaine avec jardin / livraison 2024 !;Le Genévrier est un projet de 4 villas contemporaines à Vernier (GE).Optimisées pour offrir tout le confort moderne, chaque villa bénéficie d’une entrée indépendante, d’une terrasse vers l’Ouest et d’un jardin privatif.Leur conception, assurée par des mandataires spécialisés et qualifiés assure une construction saine et durable, réalisée dans les règles de l’art.Les compositions de façade respectent les exigences THPE (très haute performance énergétique) favorable à un bilan de charges maitrisé.Le quartier surplombe le Rhône, et bénéficie d’un large dégagement vers le Salève et le Lignon.Les villas, situées à la limite de la zone agricole, dans un environnement verdoyant, ont accès à un écrin de nature exceptionnel avec les berges sauvages du Rhône en contrebas.La proximité des écoles et commerces dans le centre du village sont un atout au quotidien et le centre-ville de Genève et l’aéroport sont rapidement accessibles.plus d'informations sur le site: www. legenevrier.ch;2.5 rooms;170m²;CHF 2,104,050.–
Chemin du Progrès 10B, 1214 Vernier;Villa contemporaine avec jardin / livraison 2024 !;Le Genévrier est un projet de 4 villas contemporaines à Vernier (GE).Optimisées pour offrir tout le confort moderne, chaque villa bénéficie d’une entrée indépendante, d’une terrasse vers l’Ouest et d’un jardin privatif.Leur conception, assurée par des mandataires spécialisés et qualifiés assure une construction saine et durable, réalisée dans les règles de l’art.Les compositions de façade respectent les exigences THPE (très haute performance énergétique) favorable à un bilan de charges maitrisé.Le quartier surplombe le Rhône, et bénéficie d’un large dégagement vers le Salève et le Lignon.Les villas, situées à la limite de la zone agricole, dans un environnement verdoyant, ont accès à un écrin de nature exceptionnel avec les berges sauvages du Rhône en contrebas.La proximité des écoles et commerces dans le centre du village sont un atout au quotidien et le centre-ville de Genève et l’aéroport sont rapidement accessibles.plus d'informations sur le site: www. legenevrier.ch;2.5 rooms;150m²;CHF 1,730,550.–
